Date Time, Prediction
2015-06-06 03:06,1.086
2015-06-06 03:12,1.124
2015-06-06 03:18,1.159
2015-06-06 03:24,1.191
2015-06-06 03:30,1.220
2015-06-06 03:36,1.245
2015-06-06 03:42,1.266
2015-06-06 03:48,1.285
2015-06-06 03:54,1.299
2015-06-06 04:00,1.311
2015-06-06 04:06,1.318
2015-06-06 04:12,1.322
2015-06-06 04:18,1.323
2015-06-06 04:24,1.320
2015-06-06 04:30,1.313
2015-06-06 04:36,1.303
2015-06-06 04:42,1.289
2015-06-06 04:48,1.272
2015-06-06 04:54,1.252
2015-06-06 05:00,1.228
2015-06-06 05:06,1.200
2015-06-06 05:12,1.170
2015-06-06 05:18,1.136
2015-06-06 05:24,1.099
2015-06-06 05:30,1.059
2015-06-06 05:36,1.017
2015-06-06 05:42,0.971
2015-06-06 05:48,0.923
2015-06-06 05:54,0.872
2015-06-06 06:00,0.818
2015-06-06 06:06,0.762
2015-06-06 06:12,0.704
2015-06-06 06:18,0.644
2015-06-06 06:24,0.582
2015-06-06 06:30,0.518
2015-06-06 06:36,0.452
2015-06-06 06:42,0.384
2015-06-06 06:48,0.316
2015-06-06 06:54,0.246
2015-06-06 07:00,0.174
2015-06-06 07:06,0.102
2015-06-06 07:12,0.030
2015-06-06 07:18,-0.044
2015-06-06 07:24,-0.118
2015-06-06 07:30,-0.192
2015-06-06 07:36,-0.266
2015-06-06 07:42,-0.340
2015-06-06 07:48,-0.414
2015-06-06 07:54,-0.488
2015-06-06 08:00,-0.560
2015-06-06 08:06,-0.633
2015-06-06 08:12,-0.704
2015-06-06 08:18,-0.774
2015-06-06 08:24,-0.842
2015-06-06 08:30,-0.909
2015-06-06 08:36,-0.975
2015-06-06 08:42,-1.039
2015-06-06 08:48,-1.100
2015-06-06 08:54,-1.160
2015-06-06 09:00,-1.217
2015-06-06 09:06,-1.272
2015-06-06 09:12,-1.325
2015-06-06 09:18,-1.374
2015-06-06 09:24,-1.421
2015-06-06 09:30,-1.465
2015-06-06 09:36,-1.506
2015-06-06 09:42,-1.543
2015-06-06 09:48,-1.578
2015-06-06 09:54,-1.609
2015-06-06 10:00,-1.636
2015-06-06 10:06,-1.660
2015-06-06 10:12,-1.681
2015-06-06 10:18,-1.698
2015-06-06 10:24,-1.711
2015-06-06 10:30,-1.720
2015-06-06 10:36,-1.726
2015-06-06 10:42,-1.728
2015-06-06 10:48,-1.726
2015-06-06 10:54,-1.720
2015-06-06 11:00,-1.710
2015-06-06 11:06,-1.697
2015-06-06 11:12,-1.680
2015-06-06 11:18,-1.660
2015-06-06 11:24,-1.636
2015-06-06 11:30,-1.608
2015-06-06 11:36,-1.577
2015-06-06 11:42,-1.543
2015-06-06 11:48,-1.506
2015-06-06 11:54,-1.465
2015-06-06 12:00,-1.421
2015-06-06 12:06,-1.375
2015-06-06 12:12,-1.325
2015-06-06 12:18,-1.274
2015-06-06 12:24,-1.219
2015-06-06 12:30,-1.163
2015-06-06 12:36,-1.104
2015-06-06 12:42,-1.044
2015-06-06 12:48,-0.981
2015-06-06 12:54,-0.917
2015-06-06 13:00,-0.852
2015-06-06 13:06,-0.786
2015-06-06 13:12,-0.718
2015-06-06 13:18,-0.650
2015-06-06 13:24,-0.581
2015-06-06 13:30,-0.511
2015-06-06 13:36,-0.442
2015-06-06 13:42,-0.372
2015-06-06 13:48,-0.303
2015-06-06 13:54,-0.234
2015-06-06 14:00,-0.165
2015-06-06 14:06,-0.097
2015-06-06 14:12,-0.030
2015-06-06 14:18,0.036
2015-06-06 14:24,0.100
2015-06-06 14:30,0.163
2015-06-06 14:36,0.224
2015-06-06 14:42,0.284
2015-06-06 14:48,0.342
2015-06-06 14:54,0.397
2015-06-06 15:00,0.451
2015-06-06 15:06,0.501
2015-06-06 15:12,0.550
2015-06-06 15:18,0.596
2015-06-06 15:24,0.639
2015-06-06 15:30,0.679
2015-06-06 15:36,0.716
2015-06-06 15:42,0.751
2015-06-06 15:48,0.782
2015-06-06 15:54,0.810
2015-06-06 16:00,0.835
2015-06-06 16:06,0.857
2015-06-06 16:12,0.875
2015-06-06 16:18,0.890
2015-06-06 16:24,0.902
2015-06-06 16:30,0.910
2015-06-06 16:36,0.915
2015-06-06 16:42,0.916
2015-06-06 16:48,0.914
2015-06-06 16:54,0.909
2015-06-06 17:00,0.901
2015-06-06 17:06,0.889
2015-06-06 17:12,0.874
2015-06-06 17:18,0.856
2015-06-06 17:24,0.834
2015-06-06 17:30,0.810
2015-06-06 17:36,0.783
2015-06-06 17:42,0.753
2015-06-06 17:48,0.719
2015-06-06 17:54,0.684
2015-06-06 18:00,0.645
2015-06-06 18:06,0.604
2015-06-06 18:12,0.561
2015-06-06 18:18,0.515
2015-06-06 18:24,0.468
2015-06-06 18:30,0.418
2015-06-06 18:36,0.366
2015-06-06 18:42,0.312
2015-06-06 18:48,0.257
2015-06-06 18:54,0.200
2015-06-06 19:00,0.142
2015-06-06 19:06,0.083
2015-06-06 19:12,0.022
2015-06-06 19:18,-0.039
2015-06-06 19:24,-0.101
2015-06-06 19:30,-0.164
2015-06-06 19:36,-0.227
2015-06-06 19:42,-0.291
2015-06-06 19:48,-0.355
2015-06-06 19:54,-0.418
2015-06-06 20:00,-0.482
2015-06-06 20:06,-0.545
2015-06-06 20:12,-0.608
2015-06-06 20:18,-0.670
2015-06-06 20:24,-0.731
2015-06-06 20:30,-0.791
2015-06-06 20:36,-0.851
2015-06-06 20:42,-0.908
2015-06-06 20:48,-0.965
2015-06-06 20:54,-1.020
2015-06-06 21:00,-1.073
2015-06-06 21:06,-1.124
2015-06-06 21:12,-1.173
2015-06-06 21:18,-1.220
2015-06-06 21:24,-1.265
2015-06-06 21:30,-1.307
2015-06-06 21:36,-1.347
2015-06-06 21:42,-1.384
2015-06-06 21:48,-1.419
2015-06-06 21:54,-1.450
2015-06-06 22:00,-1.479
2015-06-06 22:06,-1.505
2015-06-06 22:12,-1.527
2015-06-06 22:18,-1.546
2015-06-06 22:24,-1.562
2015-06-06 22:30,-1.575
2015-06-06 22:36,-1.584
2015-06-06 22:42,-1.590
2015-06-06 22:48,-1.592
2015-06-06 22:54,-1.591
2015-06-06 23:00,-1.587
2015-06-06 23:06,-1.579
2015-06-06 23:12,-1.567
2015-06-06 23:18,-1.553
2015-06-06 23:24,-1.534
2015-06-06 23:30,-1.512
2015-06-06 23:36,-1.487
2015-06-06 23:42,-1.459
2015-06-06 23:48,-1.427
2015-06-06 23:54,-1.392
2015-06-07 00:00,-1.354
2015-06-07 00:06,-1.313
2015-06-07 00:12,-1.270
2015-06-07 00:18,-1.223
2015-06-07 00:24,-1.174
2015-06-07 00:30,-1.122
2015-06-07 00:36,-1.068
2015-06-07 00:42,-1.011
2015-06-07 00:48,-0.952
2015-06-07 00:54,-0.892
2015-06-07 01:00,-0.829
2015-06-07 01:06,-0.765
2015-06-07 01:12,-0.699
2015-06-07 01:18,-0.632
2015-06-07 01:24,-0.564
2015-06-07 01:30,-0.495
2015-06-07 01:36,-0.425
2015-06-07 01:42,-0.354
2015-06-07 01:48,-0.283
2015-06-07 01:54,-0.212
2015-06-07 02:00,-0.140
2015-06-07 02:06,-0.069
2015-06-07 02:12,0.002
2015-06-07 02:18,0.073
2015-06-07 02:24,0.143
2015-06-07 02:30,0.212
2015-06-07 02:36,0.280
2015-06-07 02:42,0.347
2015-06-07 02:48,0.412
2015-06-07 02:54,0.476
2015-06-07 03:00,0.538
2015-06-07 03:06,0.599
2015-06-07 03:12,0.657
2015-06-07 03:18,0.714
2015-06-07 03:24,0.768
2015-06-07 03:30,0.820
2015-06-07 03:36,0.869
2015-06-07 03:42,0.916
2015-06-07 03:48,0.959
2015-06-07 03:54,1.000
2015-06-07 04:00,1.038
2015-06-07 04:06,1.073
2015-06-07 04:12,1.105
2015-06-07 04:18,1.134
2015-06-07 04:24,1.160
2015-06-07 04:30,1.182
2015-06-07 04:36,1.201
2015-06-07 04:42,1.216
2015-06-07 04:48,1.228
2015-06-07 04:54,1.237
2015-06-07 05:00,1.242
2015-06-07 05:06,1.244
2015-06-07 05:12,1.242
2015-06-07 05:18,1.237
2015-06-07 05:24,1.228
2015-06-07 05:30,1.216
2015-06-07 05:36,1.200
2015-06-07 05:42,1.182
2015-06-07 05:48,1.159
2015-06-07 05:54,1.134
2015-06-07 06:00,1.105
2015-06-07 06:06,1.074
2015-06-07 06:12,1.039
2015-06-07 06:18,1.001
2015-06-07 06:24,0.961
2015-06-07 06:30,0.917
2015-06-07 06:36,0.871
2015-06-07 06:42,0.822
2015-06-07 06:48,0.771
2015-06-07 06:54,0.718
2015-06-07 07:00,0.662
2015-06-07 07:06,0.604
2015-06-07 07:12,0.544
2015-06-07 07:18,0.482
2015-06-07 07:24,0.419
2015-06-07 07:30,0.354
2015-06-07 07:36,0.287
2015-06-07 07:42,0.219
2015-06-07 07:48,0.150
2015-06-07 07:54,0.080
2015-06-07 08:00,0.010
2015-06-07 08:06,-0.062
2015-06-07 08:12,-0.133
2015-06-07 08:18,-0.205
2015-06-07 08:24,-0.278
2015-06-07 08:30,-0.350
2015-06-07 08:36,-0.422
2015-06-07 08:42,-0.494
2015-06-07 08:48,-0.565
2015-06-07 08:54,-0.635
2015-06-07 09:00,-0.705
2015-06-07 09:06,-0.773
2015-06-07 09:12,-0.840
2015-06-07 09:18,-0.906
