06/06 19Z,   0.30,   0.40,  99.90,   1.31,   0.60,
06/06 20Z,   0.30,  -0.22,  99.90,   0.68,   0.60,
06/06 21Z,   0.40,  -0.81,  99.90,   0.19,   0.60,
06/06 22Z,   0.40,  -1.22,  99.90,  -0.22,   0.60,
06/06 23Z,   0.40,  -1.33,  99.90,  -0.32,   0.60,  (min)
06/07 00Z,   0.40,  -1.10,  99.90,  -0.09,   0.60,
06/07 01Z,   0.50,  -0.57,  99.90,   0.53,   0.60,
06/07 02Z,   0.50,   0.12,  99.90,   1.22,   0.60,
06/07 03Z,   0.60,   0.80,  99.90,   2.00,   0.60,
06/07 04Z,   0.60,   1.30,  99.90,   2.50,   0.60,
06/07 05Z,   0.60,   1.50,  99.90,   2.71,   0.60,  (max)
06/07 06Z,   0.60,   1.36,  99.90,   2.57,   0.60,
06/07 07Z,   0.60,   0.92,  99.90,   2.13,   0.60,
06/07 08Z,   0.60,   0.27,  99.90,   1.47,   0.60,
06/07 09Z,   0.60,  -0.45,  99.90,   0.76,   0.60,
06/07 10Z,   0.60,  -1.06,  99.90,   0.15,   0.60,
06/07 11Z,   0.70,  -1.41,  99.90,  -0.11,   0.60,
06/07 12Z,   0.70,  -1.42,  99.90,  -0.11,   0.60,  (min)
06/07 13Z,   0.70,  -1.07,  99.90,   0.24,   0.60,
06/07 14Z,   0.70,  -0.47,  99.90,   0.84,   0.60,
06/07 15Z,   0.70,   0.22,  99.90,   1.53,   0.60,
06/07 16Z,   0.70,   0.81,  99.90,   2.12,   0.60,
06/07 17Z,   0.70,   1.16,  99.90,   2.46,   0.60,  (max)
06/07 18Z,   0.60,   1.18,  99.90,   2.39,   0.60,
06/07 19Z,   0.60,   0.90,  99.90,   2.10,   0.60,
06/07 20Z,   0.60,   0.38,  99.90,   1.59,   0.60,
06/07 21Z,   0.60,  -0.24,  99.90,   0.97,   0.60,
06/07 22Z,   0.50,  -0.81,  99.90,   0.29,   0.60,
06/07 23Z,   0.50,  -1.19,  99.90,  -0.09,   0.60,
06/08 00Z,   0.50,  -1.28,  99.90,  -0.18,   0.60,  (min)
06/08 01Z,   0.40,  -1.04,  99.90,  -0.03,   0.60,
06/08 02Z,   0.40,  -0.52,  99.90,   0.49,   0.60,
06/08 03Z,   0.40,   0.15,  99.90,   1.15,   0.60,
06/08 04Z,   0.30,   0.78,  99.90,   1.69,   0.60,
06/08 05Z,   0.30,   1.24,  99.90,   2.14,   0.60,
06/08 06Z,   0.30,   1.40,  99.90,   2.30,   0.60,  (max)
06/08 07Z,   0.30,   1.23,  99.90,   2.14,   0.60,
06/08 08Z,   0.20,   0.78,  99.90,   1.58,   0.60,
06/08 09Z,   0.20,   0.14,  99.90,   0.94,   0.60,
06/08 10Z,   0.20,  -0.55,  99.90,   0.25,   0.60,
06/08 11Z,   0.20,  -1.12,  99.90,  -0.31,   0.60,
06/08 12Z,   0.20,  -1.42,  99.90,  -0.62,   0.60,
06/08 13Z,   0.10,  -1.37,  99.90,  -0.67,   0.60,  (min)
06/08 14Z,   0.10,  -0.99,  99.90,  -0.28,   0.60,
06/08 15Z,   0.10,  -0.37,  99.90,   0.34,   0.60,
06/08 16Z,   0.10,   0.32,  99.90,   1.02,   0.60,
06/08 17Z,   0.10,   0.89,  99.90,   1.60,   0.60,
06/08 18Z,   0.00,   1.22,  99.90,   1.82,   0.60,
06/08 19Z,   0.00,   1.22,  99.90,   1.83,   0.60,  (max)
06/08 20Z,   0.00,   0.93,  99.90,   1.53,   0.60,
06/08 21Z,   0.00,   0.41,  99.90,   1.02,   0.60,
06/08 22Z,   0.00,  -0.20,  99.90,   0.40,   0.60,
06/08 23Z,   0.00,  -0.77,  99.90,  -0.17,   0.60,
06/09 00Z,   0.00,  -1.15,  99.90,  -0.55,   0.60,
